"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	1292	883700	146.2
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	1309	900264	145.4
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2019"	"2019"	1360	907495	149.9
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	2278	904110	252.0
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	2356	919479	256.2
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2019"	"2019"	2388	926216	257.8
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	1574	809282	194.5
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	1628	816861	199.3
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2019"	"2019"	1659	829362	200.0
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	2568	815896	314.7
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	2616	824782	317.2
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2019"	"2019"	2774	837832	331.1
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	2511	874204	287.2
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	2544	867724	293.2
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2019"	"2019"	2487	852580	291.7
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2017"	"2017"	3958	866764	456.6
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2018"	"2018"	3771	857794	439.6
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2019"	"2019"	3825	843054	453.7
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	4106	932663	440.2
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	3869	904321	427.8
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2019"	"2019"	3736	880695	424.2
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	6228	904265	688.7
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	6116	879635	695.3
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	5803	859309	675.3
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	6525	1020087	639.7
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	6522	1015581	642.2
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	6323	1008073	627.2
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	9906	960395	1031.5
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	10113	956083	1057.8
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	9850	949177	1037.7
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	8486	985685	860.9
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	8762	1000624	875.7
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	8986	1007744	891.7
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	12963	903040	1435.5
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	13731	915935	1499.1
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	13635	923094	1477.1
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	10882	871889	1248.1
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	10714	888431	1205.9
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	10943	908610	1204.4
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	15296	792862	1929.2
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	16090	801565	2007.3
	"Small Metro"	"4"	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	16051	815556	1968.1
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	13293	685552	1939.0
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	13580	715388	1898.3
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	13926	747992	1861.8
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	17075	607239	2811.9
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	17715	636015	2785.3
	"Small Metro"	"4"	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	18204	666257	2732.3
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	15464	488350	3166.6
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	16119	516708	3119.6
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	16282	537323	3030.2
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	17936	406407	4413.3
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	18878	432490	4365.0
	"Small Metro"	"4"	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	19320	448992	4303.0
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	18693	346121	5400.7
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	18825	355125	5301.0
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	19359	364459	5311.7
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	18842	262034	7190.7
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	19104	271379	7039.6
	"Small Metro"	"4"	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	19418	279803	6939.9
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	22149	Not Applicable	Not Applicable
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	21955	Not Applicable	Not Applicable
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	21465	Not Applicable	Not Applicable
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	18301	Not Applicable	Not Applicable
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	18069	Not Applicable	Not Applicable
	"Small Metro"	"4"	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	18166	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	20364	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	20522	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	19802	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	11954	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	12127	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	12141	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	9971	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	9990	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Female"	"F"	"2019"	"2019"	10034	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	4077	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	4096	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	4186	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Female"	"F"	"2017"	"2017"	2308	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Female"	"F"	"2018"	"2018"	2335	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Female"	"F"	"2019"	"2019"	2358	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Male"	"M"	"2017"	"2017"	501	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Male"	"M"	"2018"	"2018"	550	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	"Male"	"M"	"2019"	"2019"	580	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	15	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	883	155181	569.0
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	837	150930	554.6
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	860	148695	578.4
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	1125	162584	692.0
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	1128	158036	713.8
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	1100	155856	705.8
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	170	636408	26.7
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	156	633989	24.6
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	187	627829	29.8
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	243	665903	36.5
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	244	661772	36.9
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	218	655266	33.3
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	118	815321	14.5
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	93	807258	11.5
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	111	803106	13.8
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	139	852459	16.3
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	145	844782	17.2
	"Micropolitan (Nonmetro)"	"5"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	136	842174	16.1
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	139	838800	16.6
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	120	842820	14.2
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	128	839838	15.2
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	202	879062	23.0
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	188	883345	21.3
	"Micropolitan (Nonmetro)"	"5"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	195	879224	22.2
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	320	879189	36.4
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	322	873957	36.8
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	297	868222	34.2
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	786	932562	84.3
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	749	926592	80.8
	"Micropolitan (Nonmetro)"	"5"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	694	921169	75.3
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	538	902520	59.6
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	495	890892	55.6
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	517	881707	58.6
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Male"	"M"	"2017"	"2017"	1356	1001587	135.4
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Male"	"M"	"2018"	"2018"	1327	987721	134.3
	"Micropolitan (Nonmetro)"	"5"	"20-24 years"	"20-24"	"Male"	"M"	"2019"	"2019"	1308	975606	134.1
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Female"	"F"	"2017"	"2017"	720	824230	87.4
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Female"	"F"	"2018"	"2018"	821	830750	98.8
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Female"	"F"	"2019"	"2019"	723	827819	87.3
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Male"	"M"	"2017"	"2017"	1799	907651	198.2
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Male"	"M"	"2018"	"2018"	1711	918888	186.2
	"Micropolitan (Nonmetro)"	"5"	"25-29 years"	"25-29"	"Male"	"M"	"2019"	"2019"	1665	918383	181.3
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	941	773745	121.6
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	969	771273	125.6
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Female"	"F"	"2019"	"2019"	1068	777609	137.3
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	1974	828336	238.3
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	1865	828742	225.0
	"Micropolitan (Nonmetro)"	"5"	"30-34 years"	"30-34"	"Male"	"M"	"2019"	"2019"	1965	838173	234.4
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	1247	785877	158.7
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	1279	794814	160.9
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Female"	"F"	"2019"	"2019"	1310	796259	164.5
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	2321	821847	282.4
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	2311	830033	278.4
	"Micropolitan (Nonmetro)"	"5"	"35-39 years"	"35-39"	"Male"	"M"	"2019"	"2019"	2439	831748	293.2
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	1695	740755	228.8
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	1628	742321	219.3
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Female"	"F"	"2019"	"2019"	1682	748390	224.7
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	2712	766308	353.9
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	2607	769023	339.0
	"Micropolitan (Nonmetro)"	"5"	"40-44 years"	"40-44"	"Male"	"M"	"2019"	"2019"	2790	776649	359.2
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	2590	814661	317.9
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	2562	805058	318.2
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Female"	"F"	"2019"	"2019"	2533	790283	320.5
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Male"	"M"	"2017"	"2017"	4059	834451	486.4
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Male"	"M"	"2018"	"2018"	4081	823501	495.6
	"Micropolitan (Nonmetro)"	"5"	"45-49 years"	"45-49"	"Male"	"M"	"2019"	"2019"	3988	807305	494.0
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	4270	881780	484.2
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	4075	850543	479.1
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Female"	"F"	"2019"	"2019"	3935	824319	477.4
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	6536	878705	743.8
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	6258	850562	735.7
	"Micropolitan (Nonmetro)"	"5"	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	5993	828079	723.7
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	6792	978795	693.9
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	6761	969036	697.7
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	6681	958227	697.2
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	10668	944271	1129.8
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	10296	933370	1103.1
	"Micropolitan (Nonmetro)"	"5"	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	10454	924361	1130.9
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	8909	948479	939.3
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	9060	959668	944.1
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	9404	964574	974.9
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	13973	899848	1552.8
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	14153	909448	1556.2
	"Micropolitan (Nonmetro)"	"5"	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	14404	912507	1578.5
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	11243	829406	1355.5
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	11237	841864	1334.8
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	11443	859049	1332.1
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	16380	779077	2102.5
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	16636	787863	2111.5
	"Micropolitan (Nonmetro)"	"5"	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	16966	800116	2120.4
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	13884	654315	2121.9
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	14417	677523	2127.9
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	14683	704246	2084.9
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	17849	591501	3017.6
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	18727	614391	3048.1
	"Micropolitan (Nonmetro)"	"5"	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	19086	640526	2979.7
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	15912	469172	3391.5
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	16442	492817	3336.3
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	16803	508194	3306.4
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	18672	396320	4711.3
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	19484	418324	4657.6
	"Micropolitan (Nonmetro)"	"5"	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	20019	431877	4635.3
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	18763	333403	5627.7
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	18829	340012	5537.7
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	19181	347670	5517.0
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	19287	251060	7682.2
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	19593	259624	7546.7
	"Micropolitan (Nonmetro)"	"5"	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	20005	267338	7483.0
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	22372	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	22067	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	21748	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	18048	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	17750	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	17558	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	19923	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	19750	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	19616	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	11551	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	12006	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	11720	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	9940	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	9879	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Female"	"F"	"2019"	"2019"	9939	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	3630	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	3860	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	3896	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"100+ years"	"100+"	"Female"	"F"	"2017"	"2017"	2342	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"100+ years"	"100+"	"Female"	"F"	"2018"	"2018"	2338	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"100+ years"	"100+"	"Female"	"F"	"2019"	"2019"	2364	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"100+ years"	"100+"	"Male"	"M"	"2017"	"2017"	488	Not Applicable	Not Applicable
